arm,benchmark,n_items,tool_calls_mean,failed_tool_calls_mean,tokens_mean,tokens_source,resp_chars_mean,sec_per_item_peritem,wall_clock_s,concurrency,sec_per_item,headline_quality,quality
A1_smoke,researchqa,2,3,0,8685.5,usage,14899.5,46.14,59,20,29.5,0.734375,"{""coverage"": 0.734375}"
A1_smoke,deep_research_bench,2,4,0,12706.5,usage,22044,73.59,96,20,48.0,0.4326,"{""race_comprehensiveness"": 0.4158, ""race_insight"": 0.4194, ""race_instruction_following"": 0.4882, ""race_readability"": 0.4173, ""race_overall_score"": 0.4326, ""fact_avg_citations_per_article"": 52.0, ""fact_avg_valid_citations_per_article"": 33.0, ""fact_valid_rate"": 0.6346}"
